2026-02-20T10:32:01 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-01 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=19.7345)
2026-02-20T10:32:10 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-01 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=19.6523)
2026-02-20T10:32:10 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-02 | erro=Integridade Falhou: core_temp_c fora do domínio [-100, 200]: 2695.2
2026-02-20T10:32:10 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-03 | erro=Integridade Falhou: altitude_km deve ser positivo: -2609.71
2026-02-20T10:32:10 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-04 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=0.0)
2026-02-20T10:32:10 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-05 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=49.7879)
2026-02-20T10:32:11 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-01 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=19.6904)
2026-02-20T10:32:11 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-02 | erro=Integridade Falhou: core_temp_c fora do domínio [-100, 200]: 2694.7
2026-02-20T10:32:11 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-03 | erro=Integridade Falhou: altitude_km deve ser positivo: -2610.5
2026-02-20T10:32:11 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-04 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=0.0)
2026-02-20T10:32:11 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-05 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=49.4182)
2026-02-20T10:32:12 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-01 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=19.2152)
2026-02-20T10:32:12 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-02 | erro=Integridade Falhou: core_temp_c fora do domínio [-100, 200]: 2695.1
2026-02-20T10:32:12 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-03 | erro=Integridade Falhou: altitude_km deve ser positivo: -2611.01
2026-02-20T10:32:12 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-04 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=0.0)
2026-02-20T10:32:12 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-05 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=49.5587)
2026-02-20T10:32:13 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-01 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=19.5535)
2026-02-20T10:32:13 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-02 | erro=Integridade Falhou: core_temp_c fora do domínio [-100, 200]: 2695.0
2026-02-20T10:32:13 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-03 | erro=Integridade Falhou: altitude_km deve ser positivo: -2611.91
2026-02-20T10:32:13 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-04 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=0.0)
2026-02-20T10:32:13 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-05 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=49.5106)
2026-02-20T10:32:14 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-01 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=19.9609)
2026-02-20T10:32:14 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-02 | erro=Integridade Falhou: core_temp_c fora do domínio [-100, 200]: 2694.3
2026-02-20T10:32:14 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-03 | erro=Integridade Falhou: altitude_km deve ser positivo: -2612.23
2026-02-20T10:32:14 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-04 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=0.0)
2026-02-20T10:32:14 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-05 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=49.0299)
2026-02-20T10:32:15 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-01 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=20.1088)
2026-02-20T10:32:15 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-02 | erro=Integridade Falhou: core_temp_c fora do domínio [-100, 200]: 2694.2
2026-02-20T10:32:15 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-03 | erro=Integridade Falhou: altitude_km deve ser positivo: -2612.63
2026-02-20T10:32:15 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-04 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=0.0)
2026-02-20T10:32:15 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-05 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=49.5012)
2026-02-20T10:32:16 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-01 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=19.7235)
2026-02-20T10:32:16 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-02 | erro=Integridade Falhou: core_temp_c fora do domínio [-100, 200]: 2694.4
2026-02-20T10:32:16 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-03 | erro=Integridade Falhou: altitude_km deve ser positivo: -2613.39
2026-02-20T10:32:16 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-04 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=0.0)
2026-02-20T10:32:16 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-05 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=49.3274)
2026-02-20T10:32:17 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-01 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=19.9868)
2026-02-20T10:32:17 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-02 | erro=Integridade Falhou: core_temp_c fora do domínio [-100, 200]: 2695.1
2026-02-20T10:32:17 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-03 | erro=Integridade Falhou: altitude_km deve ser positivo: -2613.76
2026-02-20T10:32:17 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-04 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=0.0)
2026-02-20T10:32:17 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-05 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=48.9554)
2026-02-20T10:32:18 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-01 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=20.0606)
2026-02-20T10:32:18 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-02 | erro=Integridade Falhou: core_temp_c fora do domínio [-100, 200]: 2694.6
2026-02-20T10:32:18 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-03 | erro=Integridade Falhou: altitude_km deve ser positivo: -2614.53
2026-02-20T10:32:18 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-04 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=0.0)
2026-02-20T10:32:18 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-05 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=49.186)
2026-02-20T10:32:19 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-01 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=20.4071)
2026-02-20T10:32:19 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-02 | erro=Integridade Falhou: core_temp_c fora do domínio [-100, 200]: 2694.8
2026-02-20T10:32:19 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-03 | erro=Integridade Falhou: altitude_km deve ser positivo: -2615.39
2026-02-20T10:32:19 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-04 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=0.0)
2026-02-20T10:32:19 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-05 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=48.7381)
2026-02-20T10:32:20 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-01 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=20.4629)
2026-02-20T10:32:20 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-02 | erro=Integridade Falhou: core_temp_c fora do domínio [-100, 200]: 2694.8
2026-02-20T10:32:20 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-03 | erro=Integridade Falhou: altitude_km deve ser positivo: -2615.95
2026-02-20T10:32:20 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-04 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=0.0)
2026-02-20T10:32:20 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-05 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=48.5974)
2026-02-20T10:32:21 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-01 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=19.9682)
2026-02-20T10:32:21 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-02 | erro=Integridade Falhou: core_temp_c fora do domínio [-100, 200]: 2696.5
2026-02-20T10:32:21 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-03 | erro=Integridade Falhou: altitude_km deve ser positivo: -2616.66
2026-02-20T10:32:21 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-04 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=0.0)
2026-02-20T10:32:21 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-05 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=48.1827)
2026-02-20T10:32:22 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-01 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=20.4448)
2026-02-20T10:32:22 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-02 | erro=Integridade Falhou: core_temp_c fora do domínio [-100, 200]: 2696.9
2026-02-20T10:32:22 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-03 | erro=Integridade Falhou: altitude_km deve ser positivo: -2617.16
2026-02-20T10:32:22 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-04 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=0.0)
2026-02-20T10:32:22 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-05 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=48.5814)
2026-02-20T10:32:23 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-01 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=20.4037)
2026-02-20T10:32:23 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-02 | erro=Integridade Falhou: core_temp_c fora do domínio [-100, 200]: 2697.7
2026-02-20T10:32:23 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-03 | erro=Integridade Falhou: altitude_km deve ser positivo: -2617.84
2026-02-20T10:32:23 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-04 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=0.0)
2026-02-20T10:32:23 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-05 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=48.2392)
2026-02-20T10:32:24 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-01 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=20.4143)
2026-02-20T10:32:24 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-02 | erro=Integridade Falhou: core_temp_c fora do domínio [-100, 200]: 2697.1
2026-02-20T10:32:24 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-03 | erro=Integridade Falhou: altitude_km deve ser positivo: -2618.21
2026-02-20T10:32:24 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-04 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=0.0)
2026-02-20T10:32:24 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-05 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=48.1657)
2026-02-20T10:32:25 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-01 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=20.1315)
2026-02-20T10:32:25 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-02 | erro=Integridade Falhou: core_temp_c fora do domínio [-100, 200]: 2698.0
2026-02-20T10:32:25 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-03 | erro=Integridade Falhou: altitude_km deve ser positivo: -2618.54
2026-02-20T10:32:25 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-04 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=0.0)
2026-02-20T10:32:25 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-05 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=48.4791)
2026-02-20T10:32:26 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-01 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=19.9998)
2026-02-20T10:32:26 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-02 | erro=Integridade Falhou: core_temp_c fora do domínio [-100, 200]: 2696.9
2026-02-20T10:32:26 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-03 | erro=Integridade Falhou: altitude_km deve ser positivo: -2619.09
2026-02-20T10:32:26 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-04 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=0.0)
2026-02-20T10:32:26 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-05 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=48.9098)
2026-02-20T10:32:27 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-01 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=20.2691)
2026-02-20T10:32:27 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-02 | erro=Integridade Falhou: core_temp_c fora do domínio [-100, 200]: 2697.9
2026-02-20T10:32:27 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-03 | erro=Integridade Falhou: altitude_km deve ser positivo: -2619.85
2026-02-20T10:32:27 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-04 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=0.0)
2026-02-20T10:32:27 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-05 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=48.4215)
2026-02-20T10:32:28 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-01 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=20.3525)
2026-02-20T10:32:28 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-02 | erro=Integridade Falhou: core_temp_c fora do domínio [-100, 200]: 2698.6
